Year,forestprop,pr_forest,kba_f,kba_t,protected_forest,kba_m,redlist,bio_aid,death_missing,loss_disaster,sendai_score,gov_spending,basic_drinking,basic_sanitation,undernourishment,stunted,overweight,plant_genes,agri_index,aid_agri,mmr,skilled_birth,under5mr,nmr,hiv,tuberculosis,malaria,tropical_disease,death_chronic,suicide,alcohol,traffic_deaths,fam_plan,adolescent_birth,uhc_index,poisoning,vaccine,medical_aid,doc_density,ihr_capacity,participation_rate,parity_teaching,scholarship,teacher_training,f_parliament,safewater,open_toilets,handwashing,waterbody,wateraid,electricity,cleanfuel,renewable,energy_intensity,energyaid,gdp_capita,gdp_employed,consumption_cap,totalaid,manu_value,manuco2,infrastrure_flow,tech_value,mobile_3g,np_unga,zero_tarrif,dev_assist,slumpop,death_missing,disasterloss,drrscore,consumption_cap,death_missing,homicideprop,human_traffic,np_unga,gov_rev,localfunds,remittanceprop,debtservice,internet_access,internet_use,techaid,tarrifavg,tarrif_applied,stat_capdev
2010,0.2536449,722912,0.3645967,0.5226856,0.1446645,0.5895566,0.82439,28.55741,4.233,0.01794,,0.1987293,0.8540703,0.4086468,0.112,,,,0.26008,98.04112,349,,46.8,27.5,0.08,163,3.912,26834231,23.8,10.5,2.12997,18,,90,42,0.7,82,77.10544,,75,,0.973,8.99431,0.736609,0.33165,0.2592598,0.3968679,0.5470482,0.14257,79.24093,0.6510121,0.22,0.8729,7.97,22.33,0.0372,2.8,3.4287,230.48613,0.0595,1.27,178.12924,8.47,0.3513,0.52083,0.656,749.45726,0.581,4.233,1752525.72,,3.4287,4.233,3.00853,193,0.52083,0.1812999,0.6868619,0.2164699,0.1041391,0.22,7.93,134.37281,12.93533,6.1825,496346.29
2011,,722808,0.3645967,0.5226856,,0.5895566,0.82441,48.61304,2.024,0.00193,,0.1603235,0.8591304,0.43734,0.101,0.405,0.0154961,2776,0.31883,111.85026,328,0.36,44.4,26.4,0.07,162,3.033,26975315,,,,17.9,56.2,,,,92,55.316487,,75,0.7761508,0.98133,10.44545,0.8072852,0.33165,0.2611691,0.3704739,0.537321,0.14108,80.49032,0.6726,,0.8695,7.97,212.46,0.0227,0.8,3.46378,243.24284,0.0598,1.44,174.74638,8.38,,,,733.76194,,2.024,0,,3.46378,2.024,2.48471,141,,0.1850174,,0.222956,0.089984,0.35,9,185.97657,,6.18238,518544.93
2012,,722599,0.3645967,0.5226856,,0.5895566,0.8246,10.62624,1.779,0.00531,,0.1798384,0.8641293,0.4665691,0.094,,,,0.23666,104.09732,308,,42.2,25.4,0.06,161,1.648,20852506,,,,16.9,,71.5,,,90,54.578873,5.036,75,0.8674286,0.99543,7.86155,0.9255903,0.33165,0.2630714,0.3442002,0.5275477,0.14084,105.7463,0.7387317,,0.847,7.27,28.02,0.0356,2,3.56298,245.57251,0.0592,1.66,173.22487,8.38,,,,851.42326,,1.779,0,,3.56298,1.779,2.32189,271,,0.186641,,0.2542735,0.1003123,0.83,11.15,149.03192,,6.36848,1098400.51
2013,,722548,0.3645967,0.5226856,,0.5895566,0.82476,35.87626,2.287,0.00296,,0.1743708,0.8690636,0.4963253,0.092,,,4155,0.25513,73.49223,291,,40.1,24.4,0.05,159,1.271,23979335,,,,17,,71,,,92,76.050451,5.425,75,0.7791214,0.99493,7.72973,0.9218524,0.33165,0.2649631,0.3180613,0.5177163,0.13902,81.75699,0.780357,,0.8605,7.79,313.05,0.0288,1.3,3.51592,294.07025,0.0589,1.24,220.02622,8.38,0.8062,,,1004.72571,,2.287,0,,3.51592,2.287,2.16542,237,,0.1952294,0.8593593,0.2900137,0.0858646,1.11,13.3,198.57944,,6.36717,782172.43
2014,,722489,0.3645967,0.5226856,,0.5895566,0.82495,25.58771,2.768,0.01823,,0.1756964,0.8739326,0.5266066,0.093,0.375,0.0211822,,0.30729,81.49657,275,0.556,38.1,23.4,0.05,158,0.6,21348508,,,,,63.1,,,,92,106.312035,5.951,100,0.8348375,0.99115,5.89068,0.9358152,0.29913,0.2668465,0.2920545,0.5078327,0.13977,87.06245,0.849,,0.8406,7.65,368.5,0.0472,3.2,3.64001,296.82046,0.0591,1.69,200.16367,8.38,0.8,,,888.37542,0.543,2.768,0,,3.64001,2.768,,266,,0.2059675,0.8450524,0.294391,0.0785126,0.88,15.44,144.34054,,6.33957,295578.61
2015,0.2536449,722391,0.3645967,0.5226856,0.1622662,0.5895566,0.8249,17.70991,33.012,1.01769,0.05,0.1828129,0.8787333,0.5574052,0.094,,,4667,0.30193,102.37838,258,,36.4,22.5,0.04,156,0.491,18850311,22.2,9.1,2.14072,,,88.2,51,0.5,91,100.115037,,100,0.8046884,0.9945,6.86384,0.9442307,0.294807,0.2687191,0.2661907,0.4978883,0.14151,107.65132,0.8665527,0.28,0.8504,7.4,14.61,0.0212,0.9,3.68955,400.28433,0.0574,1.93,289.31356,8.38,0.82,0.51813,0.77,1214.92544,,33.012,599842721.8,0.05,3.68955,33.012,,,0.51813,0.2112592,0.8326422,0.3143237,0.0789586,1.06,17.58,138.31398,15.21073,6.34105,631806.08
2016,,722207,0.3645967,0.5227161,,0.5895981,0.82498,32.055,1.715,0.08037,0.05,0.1698966,0.8834641,0.5887173,,0.36,0.0117459,,0.32656,110.55543,,0.58,34.8,21.6,0.03,154,0.327,17552881,21.8,8.8,2.01573,,,,,0.4,87,72.53414,,100,0.835016,1.00402,4.61664,0.9701081,0.295492,0.270582,0.2404713,0.4878854,0.14189,106.74773,0.907,0.29,0.792,8.07,27.78,-0.0072,-2,3.74865,282.33664,0.0526,2.61,175.37976,8.38,0.9197,0.51813,0.748,1070.02586,,1.715,16510984.39,0.05,3.74865,1.715,2.16378,350,0.51813,0.2325791,0.8534704,0.3120864,0.0867174,0.77,19.69,170.20718,11.37152,6.33107,1582385.826
2017,,721796,0.3645967,0.5227161,,0.5895981,0.82491,18.51617,1.901,0.11485,0.05,0.191285,0.8881225,0.620536,,,,4671,0.39077,135.12739,,,33.4,20.7,0.03,152,0.45,16062081,,,,,56,,48,,90,61.373203,6.507,0,0.8490252,1.00395,5.16412,0.9727852,0.295798,0.2724335,0.2149045,0.4778184,,179.41515,0.9550748,0.29,,,,0.0632,5,3.807,488.57975,0.0541,,324.43483,,0.9247,0.51813,0.7706,1318.99935,0.51,1.901,88547616,0.05,3.807,1.901,,,0.51813,0.2438119,0.7625712,0.278459,0.0737847,1.72,21.4,234.88123,13.79113,6.179,
2018,,721645,0.3645967,0.5227161,,0.5895981,0.82526,,1.644,0.00129,0.375,0.1574647,,,,,,4671,,,,,32.2,19.9,,,,,,,,,,,,,,,,,,,,,0.327,,,,,,,,,,,,1.9,,,0.0548,,,,,,,,,1.644,6058862.4,0.375,,1.644,,,,,,,,,,,,,
2019,,,,,,,0.8252,,,,,,,,,,,4671,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
